"title","author","publication_year","genre","synopsis"
"Serie Sobre Bibliotecas y Bibliografía","Pan American Union","1930","Ficción","Obra de Pan American Union, publicada en 1930."
"Catalogue of the Printed Books in the Library of the British Museum","British Library","1946","Ficción","Obra de British Library, publicada en 1946."
"Catalogue of Printed Books","British Museum","1896","Ficción","Obra de British Museum, publicada en 1896."
"Catalogue of Printed Books","British Museum. Department of Printed Books","1908","English newspapers","Obra de British Museum. Department of Printed Books, publicada en 1908."
"The Street of Clocks","Thomas Lux","1913","Poetry","The Street of Clocks, Thomas Lux's first all-new collection since 1994, is a significant addition to the work of an utterly original, highly accomplished poet. The poems gathered here are delivered b…"
"Library Notes","North Carolina College for Women. Library","1926","Classified catalogs","Obra de North Carolina College for Women. Library, publicada en 1926."
"Classified List","Princeton University. Library","1920","Classified catalogs","Obra de Princeton University. Library, publicada en 1920."
"Tierra de jaguares","Hugo Wast","1927","Spanish language","Obra de Hugo Wast, publicada en 1927."
"Amor triunfante","Georg Ebers","1904","Ficción","Obra de Georg Ebers, publicada en 1904."
"Obras completas de Ramón Pérez de Ayala: La pata de la raposa","Ramón Pérez de Ayala","1923","Ficción","Obra de Ramón Pérez de Ayala, publicada en 1923."
"Asi es nuestro rey: El libro de ""La monarquia.""","Benigno Varela","1914","Ficción","Obra de Benigno Varela, publicada en 1914."
"Obras completas","Juan Valera","1914","Ficción","Obra de Juan Valera, publicada en 1914."
"Library of Congress Catalogs","Library of Congress","1977","Monographic series","Obra de Library of Congress, publicada en 1977."
"Principios de literatura general e Historia de la literatura española","Manuel de la Revilla","1872","Ficción","Obra de Manuel de la Revilla, publicada en 1872."
"Dictionary Catalog of the Research Libraries of the New York Public Library, 1911-1971","New York Public Library. Research Libraries","1979","Library catalogs","Obra de New York Public Library. Research Libraries, publicada en 1979."
"Sí sé por qué","Felipe Trigo","1920","Ficción","Obra de Felipe Trigo, publicada en 1920."
"Monthly Bulletin of the Philippine Library and Museum","National Library (Philippines)","1913","Libraries","Obra de National Library (Philippines), publicada en 1913."
"Mamá; comedia en tres actos","Gregorio Martínez Sierra","1912","Ficción","Obra de Gregorio Martínez Sierra, publicada en 1912."
"Historia de España","Miguel Romera-Navarro","1923","Spain","Obra de Miguel Romera-Navarro, publicada en 1923."
"Obras completas de Diego Barros Arana ...","Diego Barros Arana","1908","America","Obra de Diego Barros Arana, publicada en 1908."
"Monthly Bulletin","San Francisco Free Public Library","1914","Classified catalogs (Dewey decimal)","Obra de San Francisco Free Public Library, publicada en 1914."
"Los Mohicanos de París","Alexandre Dumas","1889","Ficción","Obra de Alexandre Dumas, publicada en 1889."
"Mirando á Loyola","Julio Cejador y Frauca","1913","Ficción","Obra de Julio Cejador y Frauca, publicada en 1913."
"Author-title Catalogue","Ontario New Universities Library Project","1967","Ficción","Obra de Ontario New Universities Library Project, publicada en 1967."
"Elementos del derecho romano","Ferdinand Mackeldey","1876","Ficción","Obra de Ferdinand Mackeldey, publicada en 1876."
"Historia de la Literatura Mexicana Desde Los Orígenes Hasta Nuestros Días","Carlos González Peña","1929","Mexican literature","Obra de Carlos González Peña, publicada en 1929."
"Catalogue","Hispanic Society of America. Library","1962","Brazilian literature","Obra de Hispanic Society of America. Library, publicada en 1962."
"Bulletin of the Philippine Library","National Library (Philippines)","1912","Classified catalogs","Obra de National Library (Philippines), publicada en 1912."
"Solos de Clarín","Leopoldo Alas","1891","Spanish literature","Obra de Leopoldo Alas, publicada en 1891."
"Widener Library Shelflist: Spanish history and literature","Harvard University. Library","1972","Library catalogs","Obra de Harvard University. Library, publicada en 1972."
"Cracking the AP Spanish Exam, 2006-2007","Mary Leech","2006","Education","Provides techniques for achieving high scores on the AP Spanish exam and offers 2 sample tests with answers and explanations."
"Madame Bovary","Gustave Flaubert","2016","Ficción","Madame Bovary es una novela escrita por Gustave Flaubert. Se publicó por entregas en La Revue de Paris desde el 1 de octubre de 1856 hasta el 15 de diciembre del mismo año; en forma de libro, en 1857…"
"Sangre y arena; novela","Vicente 1867-1928 Blasco Ibáñez","2022","History","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of Amer…"
"General Catalogue of Printed Books to 1955","British Museum. Department of Printed Books","1967","English imprints","Obra de British Museum. Department of Printed Books, publicada en 1967."
"Sangre y arena","Vicente Blasco Ibáñez","1928","Ficción","Obra de Vicente Blasco Ibáñez, publicada en 1928."
"Noli Me Tángere: Novela Tagala...","Jose Rizal","2018","History","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"Cecilia Valdés; o, La loma del Angel","Cirilo Villaverde","1915","Ficción","Obra de Cirilo Villaverde, publicada en 1915."
"Angeles del abismo","Enrique Serna","2004","Fiction","Inspirada en un proceso inquisitorial del siglo XVII, narra la historia de la falsa beata Crisanta Cruz y el indio apóstata Tlacotzin, una pareja de amantes enfrentados a la sociedad de castas y al p…"
"Manual de quijotismo ; Cómo se hace una novela . Epistolario Miguel de Unamuno / Jean Cassou","Miguel de Unamuno","2005","Juvenile Nonfiction","Obra de Miguel de Unamuno, publicada en 2005."
"El señor presidente","Miguel Ángel Asturias","1955","Ficción","Obra de Miguel Ángel Asturias, publicada en 1955."
"Persuasión","Jane Austen","2020","Ficción","Persuasión es la última novela escrita por Jane Austen. La empezó a escribir poco tiempo después de haber terminado Emma, la terminó de escribir en agosto de 1816. Austen murió a la edad de 41 años e…"
"La Novela picaresca española: Lazarillo de Tormes. Guzmán de Alfarache","Francisco Rico","1967","Picaresque literature","Obra de Francisco Rico, publicada en 1967."
"El Abuelo","Benito Pérez Galdós","2015","Ficción","Esta novela cierra el ciclo espiritualista de Galdós y es también la última de la serie de sus novelas contemporáneas. Está escrita en forma dialogada, pero le llama novela porque ""en toda novela en…"
"Tormenta de verano","Juan García Hortelano","1969","Ficción","Obra de Juan García Hortelano, publicada en 1969."
"Ojos Azules","Guel Levi","2024","Literary Collections","OJOS AZULES (Novela-guion cinematográfico) Esta historia comienza justo en tiempos de la Revolución Mexicana, es protagonizada por una familia judía en México, Estados Unidos y España. La novela reme…"
"Novela de ajedrez","Stefan Zweig","2024","Juvenile Nonfiction","Un crucero que cubre la ruta de Nueva York a Buenos Aires es el escenario de una singular partida de ajedrez. El arrogante campeó n del mundo, que acude a la capital argentina a defender su tí tulo,…"
"Vida del ahorcado","Pablo Palacio","2009","Fiction","La novela subjetiva Vida del ahorcado fue escrita en 1931 y publicada un año más tarde. Desde el primer momento Pablo Palacio intentó que su novela fuese publicada en España, pero han debido de trans…"
"Los Cuatro Jinetes del Apocalipsis: (novela)","Vicente Blasco Ibanez","2018","Fiction","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"ESTA PUTA NOVELA","JESUS ALFREDO ARIZA BARDON","2022","Fiction","Esta puta novela, basada en hechos reales, narra una parte de mi vida en donde se suman la aventura, el desafío y hasta la locura. No es Harry Potter, El Señor de los Anillos ni Comer, rezar y amar .…"
"Las plazas","José Miguel Desuárez","2006","Juvenile Nonfiction","Obra de José Miguel Desuárez, publicada en 2006."
"El movimiento popular estudiantil de 1968 en la novela mexicana","Gonzalo Martré","1998","Mexican fiction","Obra de Gonzalo Martré, publicada en 1998."
"La novela española del siglo XX.","José Domingo","1973","Spanish fiction","Obra de José Domingo, publicada en 1973."
"La ciudad de los prodigios (novela gráfica)","Claudio Stassi","2020","Comics & Graphic Novels","Una de las novelas más queridas y leídas en todo el mundo se convierte en novela gráfica gracias al trazo de Claudio Stassi En el período comprendido entre las dos Exposiciones Universales de Barcelo…"
"Los Insurgentes","Juan Antonio Mateos","2014","Ficción","This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the or…"
"La novela de la Revolución Mexicana","Antonio Castro Leal","1972","Mexican fiction","Obra de Antonio Castro Leal, publicada en 1972."
"Alas abiertas","Alfonso Teja Zabre","1920","Ficción","Obra de Alfonso Teja Zabre, publicada en 1920."
"Noé nace cada día","Ramiro Torres Septién","1960","Alcoholism","Obra de Ramiro Torres Septién, publicada en 1960."
"La novela artúrica","Victoria Cirlot","1995","Arthurian romances","Obra de Victoria Cirlot, publicada en 1995."
"Novela picaresca española","Alonso Zamora Vicente","1974","Novela picaresca española","Obra de Alonso Zamora Vicente, publicada en 1974."
"La novela-álbum","Gloria Da Cunha","2016","Literary Criticism","La novela-album es un libro esencial para entender un tendencia narrativa del siglo XXI que la expresion designa. Valiendose de la nocion de album de Ludwig Wittgenstein y de ideas de Italo Calvino y…"
"Los gañanes","J. Lamberto Moreno","1949","Ficción","Obra de J. Lamberto Moreno, publicada en 1949."
"Tinieblas En Las Cumbres (Historias de Libertinaje)","Ramon Perez De Ayala","2018","Ficción","Excerpt from Tinieblas en las Cumbres (Historias de Libertinaje): Novela Póstuma He estudiado en un colegio en donde usted fué profesor de retórica y poética, de matema ticas, de psicología, lógica y…"
"La Dura verdad","Sara Insúa","1928","Ficción","Obra de Sara Insúa, publicada en 1928."
"La Espuma, Vol. 1","Armando Palacio Valdés","2018","Fiction","Excerpt from La Espuma, Vol. 1: Novela de Costumbres Contemporáneas A las tres de la tarde el sol enfilaba todavía sus rayos por la calle de Serrano bañándola casi toda de viva y rojiza luz, que harí…"
"Sacerdote y caudillo","Juan Antonio Mateos","1957","Mexico","Obra de Juan Antonio Mateos, publicada en 1957."
"La novena sinfonía","José María Vargas Vila","1928","Spanish fiction","Obra de José María Vargas Vila, publicada en 1928."
"Trilogía","Valentin Mendoza","2013","Fiction","En el libro Las piedras del baco, el poeta Medar Serrata se pregunta: "" Quien es el ser que mira cuando cierro los parpados?"" Y esa pregunta coloca al lector ante el enigma de que realmente somos y c…"
"Las Hijas De Eva","Rafael Del Castillo","2023","Ficción","En esta novela, Rafael del Castillo explora la vida de las mujeres en la sociedad española del siglo XIX. A través de las historias de varias mujeres, el autor describe las costumbres y las dificulta…"
"La Araña Negra, Novela (Classic Reprint)","Blasco Ibáñez","2018","Fiction","Excerpt from La Araña Negra, Novela Alvarez no supo nunca nada de aquel hombre, cuyo recuerdo quedó fijo por siempre en su memoria. Su encuentro con aquel viejo habia sido de esos que ocurren en la v…"
"La Tristeza Errante","Wenceslao Emilio Retana","2018","Fiction","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"Mi enamorada la muerte","Juan Alarcón Benito","1950","Tuberculosis","Obra de Juan Alarcón Benito, publicada en 1950."
"El Amor, El Dandysmo Y La Intriga","Pio Baroja","2018","Fiction","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"La vida despues de los cincuenta en la burbuja","Diana Margarita Canton Martinez-Ruiz","2020","Ficción","Es una novela testimonio de la escritora cubanoamericana Diana Margarita Cantón Martínez-Ruiz, donde nos relata en un lenguaje trasparente, y sin tapujos literarios, los avatares vividos bajo un proc…"
"Dora","Charlotte M. Braeme","2018","Ficción","Excerpt from Dora: Novela Escrita en Inglés A novela Dora que tengo el gusto de ha ber traducido a nuestro hermoso idioma, es una de las que mayor popularidad han alcanzado en la literatura inglesa.…"
"Amar sin esperanza","Henry Gréville","1926","Ficción","Obra de Henry Gréville, publicada en 1926."
"El Comerciante de Perlas","J. T. de C.","2018","Fiction","Excerpt from El Comerciante de Perlas: Novela Americana Joven, dijo el ingles, mas apto para discutir azucar y canela que cronologia historica, para saber si los franceses podrian vencernos en batall…"
"Piel de Oso: Novela Escénica En Un Acto (Classic Reprint)","Tomas Breton","2018","Drama","Excerpt from Piel de Oso: Novela Escénica en un Acto No la honra; es igual que los otros; le deja utilidad. Pero es un hombre inmensamente rico, derrocha con las mujeres su (con inquietud y rapidez:…"
"El maestro","José María Vargas Vila","2023","Ficción","Esta novela inédita de José María Vargas Vila sumerge al lector en una apasionante historia de amor y venganza en la ciudad de París durante el siglo XIX. La obra, escrita con una prosa exquisita y e…"
"El amor","Antonio de Hoyos y Vinent","1916","Spanish fiction","Obra de Antonio de Hoyos y Vinent, publicada en 1916."
"Los Tres Antones","Juan Martinez y Martinez","2023","Ficción","Esta cautivadora novela narra la historia de dos amigos íntimos que se enamoran de la misma mujer, desatando una serie de acontecimientos trágicos que tendrán consecuencias duraderas. La prosa poétic…"
"El Cisne Blanco (Novela Psicológica)","Jose Maria Vargas Vila","2018","History","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remain…"
"Habitar","Felipe  Acuña","2018","Fiction","Un hombre fisgón cree ver a su madre muerta caminando en una mujer que lleva de la mano a dos niños pequeños; una mujer loca intenta secuestrar a una nueva víctima de sus delirios; otra cree ver en u…"
"El lugar de la cita","Luciano Feria","2023","Young Adult Fiction","Las grandes ciudades cuentan con enormes construcciones, mientras que en los pueblos los vecinos construyen su vida como pueden. Luciano ha decidido escribir una novela, pero como quien edifica una c…"
"Teoría del teatro","Santiago Trancón","2006","Performing Arts","Obra de Santiago Trancón, publicada en 2006."
"El Perú desde el cine: plano contra plano","Liuba Kogan","2017","Social Science","La confianza, los personajes del horror andino, la informalidad, la marginalidad, el miedo urbano, el género, el conflicto armado interno peruano y la identidad juvenil se encuentran plano contra pla…"
"Lingüística y literatura","Renato Prada Oropeza","1978","Discourse analysis","Obra de Renato Prada Oropeza, publicada en 1978."
"Textos, modelos y metáforas","Walter Mignolo","1984","Criticism","Obra de Walter Mignolo, publicada en 1984."
"Catalog of the Latin American Collection","University of Texas at Austin. Library. Latin American Collection","1969","Latin America","Obra de University of Texas at Austin. Library. Latin American Collection, publicada en 1969."
"Tangerine","Edward Bloor","2014","Juvenile Fiction","Bienvenido a Tangerine. Este lugar es más raro de lo que parece. Paul Fisher ve el mundo a través de anteojos tan gruesos que parece un insecto del espacio exterior. Pero no está tan ciego como para…"
"Concordancias, motivos y comentarios del Código civil del Uruguay","Rafael Gallinal","1912","Civil law","Obra de Rafael Gallinal, publicada en 1912."
"Anales de jurisprudencia","Sociedad Colombiana de Jurisprudencia","1896","Law","Obra de Sociedad Colombiana de Jurisprudencia, publicada en 1896."
"Lecturas literarias","Francisco Navarro y Ledesma","1905","Spanish language","Obra de Francisco Navarro y Ledesma, publicada en 1905."
"El Cono Sur","Rose S. Minc","1985","Literary Criticism","Obra de Rose S. Minc, publicada en 1985."
"Metaficción y mundos posibles en la narrativa de José María Merino","Cheng Chan Lee","2005","Comics & Graphic Novels","Este libro analiza la producción narrativa del escritor leonés José María Merino, desde 1975 hasta 2000, partiendo de las teorías de la metaficción y los mundos posibles para mostrar el singular trat…"
"Solsticio de verano","Alfonso O'Shanahan","1989","Music","Obra de Alfonso O'Shanahan, publicada en 1989."
"Diario de sesiones de la Cámara de Senadores de la República Oriental del Uruguay","Uruguay. Asamblea General. Cámara de Senadores","1929","Uruguay","Obra de Uruguay. Asamblea General. Cámara de Senadores, publicada en 1929."
"Revista de occidente","José Ortega y Gasset","1967","Spain","Obra de José Ortega y Gasset, publicada en 1967."
"Mario Verdaguer, un escritor proteico","José Gabriel López Antuñano","1994","Ficción","Obra de José Gabriel López Antuñano, publicada en 1994."
"El abismo te devuelve la mirada","Rodolfo Martínez","1999","Fiction","Obra de Rodolfo Martínez, publicada en 1999."
"La conclusión del Amadís de Gaula","María Elena Soliño","2001","Humor","Although the three authors studied, Ana Maria Matute, Carmen Martin Gaite, and Esther Tusquets, are sophisticated intellectuals, they have chosen fairy tales and texts from other marginalized genres…"
"Historia política y parlamentaria del Antonio de los Ríos y Rosas","Juan del Nido y Segalerva","1913","Spain","Obra de Juan del Nido y Segalerva, publicada en 1913."
"Antología de textos castellanos, siglos XIII al XX","José Rogerio Sánchez","1924","Spanish literature","Obra de José Rogerio Sánchez, publicada en 1924."
"Revista de la Universidad Nacional de Córdoba","Universidad Nacional de Córdoba","1926","Ficción","Obra de Universidad Nacional de Córdoba, publicada en 1926."
"Discursos de recepción y de contestación leídos ante la Real Academia de Ciencias Morales y Políticas, al dar posesión de sus plazas á los individuos de número de la misma","Real Academia de Ciencias Morales y Políticas (Spain)","1916","Ficción","Obra de Real Academia de Ciencias Morales y Políticas (Spain), publicada en 1916."
"Derecho de sucesiones","José Luis Pérez Lasala","1978","Inheritance and succession","Obra de José Luis Pérez Lasala, publicada en 1978."
"Antología de las Cortes Constituyentes de 1869 y 1870","España. Cortes Generales. Congreso","1913","Ficción","Obra de España. Cortes Generales. Congreso, publicada en 1913."
"Legislación federal complementaria del derecho civil mexicano","Mexico","1897","Civil law","Obra de Mexico, publicada en 1897."
"Curso de derecho civil (parte general) dictado en la Facultad de derecho de la Universidad nacional de Buenos Aires","Rómulo Etcheverry Boneo","1942","Civil law","Obra de Rómulo Etcheverry Boneo, publicada en 1942."
"Guía práctica de derecho","Antonio de Jesús Lozano","1891","Law","Obra de Antonio de Jesús Lozano, publicada en 1891."
"Narrativas del simulacro","Jesús Montoya Juárez","2013","Literary Collections","Plantea una lectura de los modos en que los textos literarios transcriben un tipo de sensorium que ha sido descrito con el término de ""simulacro"", concepto promovido por la filosofía y la sociología…"
"El naufragio del periodismo en la era de la televisión","Javier del Rey Morató","1998","Television broadcasting","Obra de Javier del Rey Morató, publicada en 1998."
"Lecturas literarias","F. Navarro y Ledesma","1901","Ficción","Obra de F. Navarro y Ledesma, publicada en 1901."
"Tadao Ando","Tadao Andō","1994","Architecture","Obra de Tadao Andō, publicada en 1994."
"Acta","Argentina. Congreso de la Nación. Senado de la Nación","1894","Argentina","Obra de Argentina. Congreso de la Nación. Senado de la Nación, publicada en 1894."
"Derecho internacional privado","Pasquale Fiore","1889","Conflict of laws","Obra de Pasquale Fiore, publicada en 1889."
"Diccionario de términos literarios","Demetrio Estébanez Calderón","1999","Reference","Con sus aproximadamente mil quinientas entradas, el presente Diccionario de términos literarios proporciona una información rigurosa y actualizada sobre los conceptos fundamentales de las diferentes…"
"El código civil peruano","Ricardo Ortiz de Zevallos y Vidaurre","1899","Ficción","Obra de Ricardo Ortiz de Zevallos y Vidaurre, publicada en 1899."
"Principios de derecho civil frances","François Laurent","1895","Ficción","Obra de François Laurent, publicada en 1895."
"Cuando lo no literario se convierte en literatura","Alberto Fuguet","2017","Literature","Obra de Alberto Fuguet, publicada en 2017."
"Niebla","Miguel de Unamuno","1914","Spanish fiction","Obra de Miguel de Unamuno, publicada en 1914."
"De cine somos","Héctor José Freire","2007","Motion pictures","Obra de Héctor José Freire, publicada en 2007."
"Principios de sociología aplicada","Juan E. Naula","1921","Sociology","Obra de Juan E. Naula, publicada en 1921."
"Los misterios de Campeche","Martín Solares","2016","Mexican literature","Selections from readings organized by Campeche state Ministry of Culture in which authors presented completed stories or extracts from novels in progress. Includes chapters from soon-to-be published…"
"Diálogos al pie de la letra","Madeline Cámara","1988","Authors, Cuban","Obra de Madeline Cámara, publicada en 1988."
"Anales de la universidad","Universidad de la República (Uruguay)","1914","Ficción","Obra de Universidad de la República (Uruguay), publicada en 1914."
"Anales","Universidad Nacional de Colombia. Facultad de Derecho y Ciencias Políticas","1925","Ficción","Obra de Universidad Nacional de Colombia. Facultad de Derecho y Ciencias Políticas, publicada en 1925."
"Apuntes taquigráficos de las conferencias","Carlos M. Vico","1921","Ficción","Obra de Carlos M. Vico, publicada en 1921."
"Las teorías dramáticas de Augusto Boal","Luis Chesney Lawrence","2000","Theater","Obra de Luis Chesney Lawrence, publicada en 2000."
"Diario de las Sesiones de Cortes, Congreso de los Diputados","Spain. Cortes. Congreso de los Diputados","1908","Spain","Obra de Spain. Cortes. Congreso de los Diputados, publicada en 1908."
"Diario de sesiones de la camara de Senadores","Argentina. Congreso de la Nación. Senado de la Nación","1894","Ficción","Obra de Argentina. Congreso de la Nación. Senado de la Nación, publicada en 1894."
"La conciencia imprescindible","Jezreel Salazar","2009","Ficción","Obra de Jezreel Salazar, publicada en 2009."
"Jaén","Juan Fernández Jiménez","2006","History","Este volumen recoge una selección de los trabajos presentados en la 23 Asamblea de la Asociación de Licenciados y Doctores Españoles en los Estados Unidos’ (ALDEEU), celebrada en la Universidad de Ja…"
"Poesías de d. José Eusebio Caro","José Eusebio Caro","1885","Spanish poetry","Obra de José Eusebio Caro, publicada en 1885."
"Derecho internacional privado","Américo S. Cacici","1917","Conflict of laws","Obra de Américo S. Cacici, publicada en 1917."
"Curso elemental de derecho civil","Ambroise Victor Charles Colin","1923","Civil law","Obra de Ambroise Victor Charles Colin, publicada en 1923."
"La educación de la mujer de mañana","Leonor Serrano de Xandrí","1923","Women","Obra de Leonor Serrano de Xandrí, publicada en 1923."
"Sinónimos castellanos","Roque Barcia","1910","Spanish language","Obra de Roque Barcia, publicada en 1910."
"Doña Ilusión en Montevideo","Horacio Maldonado","1929","Ficción","Obra de Horacio Maldonado, publicada en 1929."
"Anales","Universidad de Buenos Aires. Facultad de Derecho y Ciencias Sociales","1915","Law","Obra de Universidad de Buenos Aires. Facultad de Derecho y Ciencias Sociales, publicada en 1915."
"Derecho administrativo y legislación administrativa argentina ...","Rafael Bielsa","1921","Administrative law","Obra de Rafael Bielsa, publicada en 1921."
"Biblioteca humanidades","Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación","1925","Humanities","Obra de Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación, publicada en 1925."
"Anales de la Facultad de Derecho y Ciencias Sociales","Universidad de Buenos Aires. Facultad de Derecho y Ciencias Sociales","1915","Law","Obra de Universidad de Buenos Aires. Facultad de Derecho y Ciencias Sociales, publicada en 1915."
"Explicaciones de derecho civil chileno y comparado","Luis Claro Solar","1930","Civil law","Obra de Luis Claro Solar, publicada en 1930."
"El derecho internacional codificado ; seguido de un resumen histórico de los tratados internacionales más importantes","Pasquale Fiore","1901","Ficción","Obra de Pasquale Fiore, publicada en 1901."
"Reclamación del gobierno de los Estados Unidos de América contra México respecto del Fondo Piadoso de las Californias","Mexico. Secretaría de Relaciones Exteriores","1903","Pious Fund of the Californias","Obra de Mexico. Secretaría de Relaciones Exteriores, publicada en 1903."
"El hispanismo anglonorteamericano","Conferencia Internacional Hacia un Nuevo Humanismo (Córdoba))","2001","Spain","Obra de Conferencia Internacional Hacia un Nuevo Humanismo (Córdoba)), publicada en 2001."
"El sistema de gobierno dual de Argentina y su origen","Antonio Rodríguez del Busto","1921","Argentina","Obra de Antonio Rodríguez del Busto, publicada en 1921."
"Las obligaciones en derecho romano","Polynice Alfred Henri van Wetter","1903","Contracts (Roman law)","Obra de Polynice Alfred Henri van Wetter, publicada en 1903."
"Derecho privado de Vizcaya","Diego Angulo Laguna","1903","Civil law","Obra de Diego Angulo Laguna, publicada en 1903."
"Las sucesiones intestadas en el Código civil ...","Estanislao D. Berrotarán","1911","Ficción","Obra de Estanislao D. Berrotarán, publicada en 1911."
"Obras","José Eusebio Caro","1885","Ficción","Obra de José Eusebio Caro, publicada en 1885."
